concept_name,cancer_type
Hepatoblastoma,liver
Primary malignant neoplasm of placenta,placental
Acute monocytic leukemia,leukemia
Malignant histiocytosis of extranodal AND/OR solid organ site,histiocytosis
Squamous cell carcinoma of skin of ear,skin
Reticulosarcoma,lymphoma/lymphoid
"Diffuse non-Hodgkin's lymphoma, small cell (clinical)",lymphoma/lymphoid
"Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites",lymphoma/lymphoid
Primary malignant neoplasm of lower gum,head and neck
Primary malignant neoplasm of urinary bladder neck,urinary tract/bladder
Primary malignant neoplasm of hard palate,head and neck
"Burkitt's tumor of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of accessory sinus,head and neck
"Malignant histiocytosis of lymph nodes of head, face AND/OR neck",histiocytosis
Primary malignant neoplasm of middle third of esophagus,esophagus
Angiosarcoma of liver,liver
Primary malignant neoplasm of buccal mucosa,head and neck
Primary malignant neoplasm of soft tissues of thorax,soft tissue sarcoma
"Overlapping malignant neoplasm of lip, oral cavity and pharynx",head and neck
Myeloid leukemia,leukemia
Primary malignant neoplasm of axillary tail of right female breast,breast
Primary malignant neoplasm of major salivary gland,salivary gland
Overlapping malignant neoplasm of tongue,head and neck
Juvenile myelomonocytic leukemia,leukemia
Primary malignant neoplasm of meninges,brain
Chronic leukemia in remission,leukemia
Primary malignant neoplasm of ileum,small intestine
Primary malignant neoplasm of vestibule of mouth,head and neck
Primary malignant neoplasm of body of penis,penile
"Hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes",lymphoma/lymphoid
Squamous cell carcinoma of upper extremity,skin
Squamous cell carcinoma of eyelid,skin
Primary malignant neoplasm of dorsal surface of tongue,head and neck
Sézary's disease of extranodal AND/OR solid organ site,lymphoma/lymphoid
"Hodgkin's paragranuloma of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Malignant neoplasm of connective and soft tissue of thorax,soft tissue sarcoma
Primary malignant neoplasm of tonsillar pillar,head and neck
Hodgkin's sarcoma of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
Lymphosarcoma and reticulosarcoma,lymphoma/lymphoid
Large cell lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of short bone of lower limb,bone
Primary malignant neoplasm of parametrium,uterine/endometrial
Primary malignant neoplasm of soft tissues of trunk,soft tissue sarcoma
"Mycosis fungoides of lymph nodes of head, face AND/OR neck",lymphoma/lymphoid
Primary malignant neoplasm of vermilion border of lip,head and neck
Primary malignant neoplasm of sphenoidal sinus,head and neck
Merkel cell carcinoma,skin
Primary malignant neoplasm of axillary tail of left female breast,breast
Primary malignant neoplasm of broad ligament,unknown
Primary malignant neoplasm of maxillary sinus,head and neck
"Hodgkin's disease, nodular sclerosis (clinical)",lymphoma/lymphoid
"Hodgkin's disease, nodular sclerosis of lymph nodes of inguinal region AND/OR lower limb",lymphoma/lymphoid
Primary malignant neoplasm of eye,eye/ocular
"Reticulosarcoma of lymph nodes of head, face and neck",lymphoma/lymphoid
Mesothelioma of peritoneum,mesothelioma
Overlapping malignant neoplasm of colon,colon/rectal
Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue (MALT-lymphoma),lymphoma/lymphoid
Nodular lymphoma of extranodal AND/OR solid organ site,lymphoma/lymphoid
Primary malignant neoplasm of parietal pleura,lung/respiratory tract/pleura
Malignant neoplasm of connective and soft tissue of pelvis,soft tissue sarcoma
Primary central nervous system lymphoma,lymphoma/lymphoid
Hodgkin's paragranuloma of lymph nodes of axilla AND/OR upper limb,lymphoma/lymphoid
Angioimmunoblastic T-cell lymphoma,lymphoma/lymphoid
Primary malignant neoplasm of fundus of stomach,stomach
Primary malignant neoplasm of male genital organ,male genital
Primary malignant neoplasm of heart,unknown
Primary malignant neoplasm of female genital organ,unknown
Primary malignant neoplasm of skin of breast,skin
Primary malignant neoplasm of ethmoidal sinus,head and neck
Leukemic reticuloendotheliosis of intrathoracic lymph nodes,leukemia
Primary malignant neoplasm of adrenal medulla,adrenal
Primary malignant neoplasm of laryngeal cartilage,head and neck
Mycosis fungoides of intra-abdominal lymph nodes,lymphoma/lymphoid
Lymphocyte-rich classical Hodgkin lymphoma,lymphoma/lymphoid
Burkitt's lymphoma of lymph nodes of axilla and upper limb,lymphoma/lymphoid
Refractory anemia with excess blasts-1,myelodysplastic syndromes
Hodgkin's granuloma of lymph nodes of inguinal region AND/OR lower limb,lymphoma/lymphoid
Nodular lymphoma of intrapelvic lymph nodes,lymphoma/lymphoid
Primary malignant neoplasm of parathyroid gland,parathyroid
Primary malignant neoplasm of dome of urinary bladder,urinary tract/bladder
Myeloid sarcoma,myeloid/lymphoid neoplasms
Overlapping malignant neoplasm of bronchus and lung,lung/respiratory tract/pleura
"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb",lymphoma/lymphoid
Malignant tumor of salivary gland,salivary gland
Hodgkin's disease of intra-abdominal lymph nodes,lymphoma/lymphoid
"Refractory anemia without sideroblasts, so stated",myelodysplastic syndromes
Primary malignant neoplasm of adrenal cortex,adrenal
Primary malignant neoplasm of anterior portion of floor of mouth,head and neck
Kaposi's sarcoma of gastrointestinal tract,soft tissue sarcoma
"Malignant mast cell tumor of lymph nodes of head, face AND/OR neck",mast cell malignancy
Reticulosarcoma of intra-abdominal lymph nodes,lymphoma/lymphoid
Malignant mast cell tumor (clinical),mast cell malignancy
Chronic myeloid leukemia in remission,leukemia
